id,title,author_name,author_id,tags,no_of_imgs,file_path,link,img_links,article
138485.0,Converting Number to String in C++,,,"SaloniBansal1,shivanisinghss2110,surbhikumaridav,simmytarika5,23620uday2021,anshikajain26,harsh_shokeen,sayanc170,ksrikanth0498,abhishekcpp,kumardivesh",0.0,articles/138485.txt,https://www.geeksforgeeks.org/converting-number-to-string-in-cpp/,,"In C converting integers to strings or converting numbers to strings or viceversa is actually a big paradigm shift in itself In general or more specifically in competitive programming there are many instances where we need to convert a number to a string or string to a number Lets look at some methods to convert an integer or a number to a stringConverting Number to String in CThere are 4 major methods to convert a number to a string which are as followsUsing to_stringUsing string StreamUsing sprintf functionUsing boost lexical castMethod 1 Using to_stringThe to_string function can be used to convert an integer floating point values or any number to a string This function accepts a numberwhich can be any data type and returns the number as the desired stringSyntaxstring to_string int valParametersval  Any Numerical ValueReturn ValueA string object containing the representation of value as a sequence of charactersExampleC C code to demonstrate to_string method to convert number to string#include iostream#include string  for string and to_stringusing namespace std  Driver Codeint main     Declaring integer    int i_val  20      Declaring float    float f_val  3050      Conversion of int into string using     to_string    string stri  to_stringi_val      Conversion of float into string using     to_string    string strf  to_stringf_val      Displaying the converted strings    cout  The integer in string is      cout  stri  endl    cout  The float in string is      cout  strf  endl     return 0OutputThe integer in string is  20
The float in string is  30500000Time Complexity OnAuxiliary Space OnMethod 2 Using string streamsIn this method a string stream declares a stream object which first inserts a number as a stream into an object and then uses str to follow the internal conversion of a number to a stringExampleC C code to demonstrate string stream method to convert number to string#includeiostream#include sstream   for string streams#include string   for stringusing namespace stdint main    int num  2016      declaring output string stream    ostringstream str1      Sending a number as a stream into output     string    str1  num      the str converts number into string    string geek  str1str      Displaying the string    cout  The newly formed string from number is      cout  geek  endl     return 0OutputThe newly formed string from number is  2016Time Complexity OnAuxiliary Space OnMethod 3 Using the sprintf functionsprintf function stores the output on the char buffer specified in the function instead of printing the output on the consoleC C Program to illustrate the use of sprintf for number to string conversion#include iostreamusing namespace std int main     any num    int n  12234     string buffer    char str1000      sprintf to print num to str buffer    sprintfstr d n     cout  the string is    str     return 0  this code is contributed by shivanisinghOutputthe string is  12234Time Complexity OnAuxiliary Space OnMethod 4 Using boost lexical castSimilar to string conversion the  lexical_cast  function remains the same but in the boost lexical cast time argument list modifies to lexical_castnumeric_var  ExampleC C code to demonstrate lexical_cast method to convert number to string#include boostlexical_casthpp  for lexical_cast#include iostream#include string  for stringusing namespace std  Driver Codeint main     Declaring float    float f_val  105      Declaring int    int i_val  17      lexical_cast converts a float into string    string strf  boostlexical_caststringf_val      lexical_cast converts a int into string    string stri  boostlexical_caststringi_val      Displaying string converted numbers    cout  The float value in string is      cout  strf  endl    cout  The int value in string is      cout  stri  endl     return 0OutputThe float value in string is  105
The int value in string is  17Time Complexity OnAuxiliary Space OnThis article is contributed by Manjeet Singh If you like GeeksforGeeks and would like to contribute you can also write an article using writegeeksforgeeksorg See your article appearing on the GeeksforGeeks main page and help other Geeks Please write comments if you find anything incorrect or if you want to share more information about the topic discussed above"
138465.0,"Array algorithms in C++ STL (all_of, any_of, none_of, copy_n and iota)",,,"mohitw16,pushpeshrajdx01",0.0,articles/138465.txt,https://www.geeksforgeeks.org/useful-array-algorithms-in-c-stl/,,From C11 onwards some new and interesting algorithms are added in STL of C These algorithms operate on an array and are useful in saving time during coding and hence useful in competitive programming as well all_of This function operates on whole range of array elements and can save time to run a loop to check each elements one by one It checks for a given property on every element and returns true when each element in range satisfies specified property else returns false CPP C code to demonstrate working of all_of#includeiostream#includealgorithm  for all_ofusing namespace stdint main     Initializing array    int ar6   1 2 3 4 5 6      Checking if all elements are positive    all_ofar ar6 int x  return x0           cout  All are positive elements           cout  All are not positive elements     return 0 OutputAll are not positive elementsTime Complexity OnAuxiliary Space O1In the above code 6 being a negative element negates the condition and returns false any_of This function checks for a given range if theres even one element satisfying a given property mentioned in function Returns true if at least one element satisfies the property else returns false CPP C code to demonstrate working of any_of#includeiostream#includealgorithm  for any_ofusing namespace stdint main     Initializing array    int ar6   1 2 3 4 5 6      Checking if any element is negative    any_ofar ar6 int x return x0           cout  There exists a negative element           cout  All are positive elements     return 0 OutputThere exists a negative elementTime Complexity OnAuxiliary Space O1In above code 6 makes the condition positive none_of This function returns true if none of elements satisfies the given condition else returns false CPP C code to demonstrate working of none_of#includeiostream#includealgorithm  for none_ofusing namespace stdint main     Initializing array    int ar6   1 2 3 4 5 6      Checking if no element is negative    none_ofar ar6 int x return x0           cout  No negative elements           cout  There are negative elements     return 0OutputNo negative elementsTime Complexity OnAuxiliary Space O1Since all elements are positive the function returns true copy_n copy_n copies one array elements to new array This type of copy creates a deep copy of array This function takes 3 arguments source array name size of array and the target array name CPP C code to demonstrate working of copy_n#includeiostream#includealgorithm  for copy_nusing namespace stdint main     Initializing array    int ar6   1 2 3 4 5 6      Declaring second array    int ar16      Using copy_n to copy contents    copy_nar 6 ar1      Displaying the copied array    cout  The new array after copying is      for int i0 i6  i       cout  ar1i        return 0 OutputThe new array after copying is  1 2 3 4 5 6Time Complexity OnAuxiliary Space OnIn the above code the elements of ar are copied in ar1 using copy_n iota This function is used to assign continuous values to array This function accepts 3 arguments the array name size and the starting number CPP C code to demonstrate working of iota#includeiostream#includenumeric  for iotausing namespace stdint main     Initializing array with 0 values    int ar6   0      Using iota to assign values    iotaar ar6 20      Displaying the new array    cout  The new array after assigning values is      for int i0 i6  i       cout  ari        return 0 OutputThe new array after assigning values is  20 21 22 23 24 25Time Complexity OnAuxiliary Space O1In the above code continuous values are assigned to array using iota This article is contributed by Manjeet Singh If you like GeeksforGeeks and would like to contribute you can also write an article using writegeeksforgeeksorg or mail your article to reviewteamgeeksforgeeksorg See your article appearing on the GeeksforGeeks main page and help other Geeks Please write comments if you find anything incorrect or you want to share more information about the topic discussed above
138439.0,Implement a stack using single queue,,,"Rajput-Ji,NeerajJain,rutvik_56,decode2207,sureel1327,hardikkoriintern,technophpfij",0.0,articles/138439.txt,https://www.geeksforgeeks.org/implement-a-stack-using-single-queue/,,"We are given queue data structure the task is to implement stack using only given queue data structureWe have discussed a solution that uses two queues In this article a new solution is discussed that uses only one queue This solution assumes that we can find size of queue at any point The idea is to keep newly inserted element always at front of queue keeping order of previous elements same Below are complete steps x is the element to be pushed and s is stack
pushs x 
  1 Let size of q be s 
  1 Enqueue x to q
  2 One by one Dequeue s items from queue and enqueue them
  
 Removes an item from stack
pops
  1 Dequeue an item from qBelow is implementation of the ideaC C program to implement a stack using single queue#includebitsstdchusing namespace std  User defined stack that uses a queueclass Stack    queueintqpublic    void pushint val    void pop    int top    bool empty  Push operationvoid Stackpushint val      Get previous size of queue    int s  qsize      Push current element    qpushval      Pop or Dequeue all previous     elements and put them after current     element    for int i0 is i             this will add front element into         rear of queue        qpushqfront          this will delete front element        qpop      Removes the top elementvoid Stackpop    if qempty        cout  No elementsn    else        qpop  Returns top of stackint  Stacktop    return qempty 1  qfront  Returns true if Stack is empty else falsebool Stackempty    return qempty  Driver codeint main    Stack s    spush10    spush20    cout  stop  endl    spop    spush30    spop    cout  stop  endl    return 0Java Java program to implement stack using a single queue import javautilLinkedListimport javautilQueue public class stack    QueueInteger q  new LinkedListInteger          Push operation    void pushint val             get previous size of queue        int size  qsize                  Add current element        qaddval                  Pop or Dequeue all previous         elements and put them after current         element        for int i  0 i  size i                     this will add front element into             rear of queue            int x  qremove            qaddx                      Removes the top element    int pop            if qisEmpty                    SystemoutprintlnNo elements            return 1                int x  qremove        return x              Returns top of stack    int top            if qisEmpty            return 1        return qpeek              Returns true if Stack is empty else false    boolean isEmpty            return qisEmpty          Driver program to test above methods    public static void mainString args            stack s  new stack        spush10        spush20        SystemoutprintlnTop element   stop        spop        spush30        spop        SystemoutprintlnTop element   stop      This code is contributed by Rishabh MahrseePython3# Python3 program to implement stack using a# single queue  q   # append operationdef appendval     # get previous size of queue    size  lenq     # Add current element    qappendval     # Pop or Dequeue all previous    # elements and put them after current    # element    for i in rangesize         # this will add front element into        # rear of queue        x  qpop0        qappendx            # Removes the top elementdef pop     if lenq  0         printNo elements        return 1         x  qpop0    return x # Returns top of stackdef top     iflenq  0        return 1    return q1 # Returns true if Stack is empty else falsedef isEmpty     return lenq0 # Driver program to test above methodsif __name____main__     s       sappend10    sappend20    printTop element   strs1    spop    sappend30    spop    printTop element   strs1         # This code is contributed by rutvik_56C# C# program to implement stack using a single queueusing Systemusing SystemCollectionsGeneric public class stack    Queueint q  new Queueint          Push operation    void pushint val             get previous size of queue        int size  qCount                  Add current element        qEnqueueval                  Pop or Dequeue all previous         elements and put them after current         element        for int i  0 i  size i                     this will add front element into             rear of queue            int x  qDequeue            qEnqueuex                      Removes the top element    int pop            if qCount  0                    ConsoleWriteLineNo elements            return 1                int x  qDequeue        return x              Returns top of stack    int top            if qCount  0            return 1        return qPeek              Returns true if Stack is empty else false    bool isEmpty            ifqCount  0            return true        return false          Driver program to test above methods    public static void MainString args            stack s  new stack        spush10        spush20        ConsoleWriteLineTop element   stop        spop        spush30        spop        ConsoleWriteLineTop element   stop      This code has been contributed by RajputJiJavascriptscript     Javascript program to implement stack using a single queue    let q             Push operation    function Pushval             get previous size of queue        let Size  qlength                   Add current element        qpushval                   Pop or Dequeue all previous         elements and put them after current         element        for let i  0 i  Size i                     this will add front element into             rear of queue            let x  q0            qshift            qpushx                   Removes the top element    function Pop            if isEmpty                    documentwriteNo elements  br            return 1                let x  q0        qshift        return x               Returns top of stack    function Top            if isEmpty            return 1        return q0              Returns true if Stack is empty else false    function isEmpty            ifqlength  0            return true        return false             Push10    Push20    documentwriteTop  br    Pop    Push30    Pop    documentwriteTop  br  This code is contributed by decode2207scriptOutput20
10Time complexity ON where N is size of stackAuxiliary Space ONThis article is contributed by Manu Agrawal If you like GeeksforGeeks and would like to contribute you can also write an article and mail your article to reviewteamgeeksforgeeksorg See your article appearing on the GeeksforGeeks main page and help other GeeksRecommendedSolve DSA problems on GfG PracticeSolve Problems"
138430.0,Transpose a matrix in Single line in Python,,,"pwakchaure,tahmidhasan3003,punamsingh628700,shivangtomaslu0",0.0,articles/138430.txt,https://www.geeksforgeeks.org/transpose-matrix-single-line-python/,,Transpose of a matrix is a task we all can perform very easily in Python Using a nested loop But there are some interesting ways to do the same in a single line In Python we can implement a matrix as a nested list a list inside a list Each element is treated as a row of the matrix For example m  1 2 4 5 3 6 represents a matrix of 3 rows and 2 columns The first element of the list  m0 and the element in the first row first column  m00ExampleInput 123456Output 135246Explanation Suppose we are given a matrix                       1 2                        3 4                        5 6Then the transpose of the given matrix will be                        1 3 5                        2 4 6Python Programs to Transpose a Matrix in Single LineThere are various approaches to find the Transpose of a matrix in a single line in Python In this article we will discuss all the approaches which are specific to transposing a matrix in a single line in PythonUsing List ComprehensionUsing zipUsing NumPyUsing itertoolsTranspose Matrix In Single Line using List ComprehensionList comprehension is used to iterate through each element in the matrix In the given example we iterate through each element of matrix m in a columnmajor manner and assign the result to the rez matrix which is the transpose of mPython3m  1 2 3 4 5 6for row in m    printrowrez  mji for j in rangelenm for i in rangelenm0printnfor row in rez    printrowOutput1 23 45 61 3 52 4 6Transpose a matrix in Single line in Python using zipPython Zip returns an iterator of tuples where the ith tuple contains the ith element from each of the argument sequences or iterables In this example we unzip our array using  and then zip it to get the transposePython3matrix  1 2 3 4 5 6                  7 8 9 10 11 12for row in matrix    printrowprintnt_matrix  zipmatrixfor row in t_matrix    printrowOutputNote  If you want your result in the form 147102581136912  you can use t_matrixmaplist zipmatrix1 2 34 5 67 8 910 11 121 4 7 102 5 8 113 6 9 12    Python Programs to Transpose a matrix using NumPyPython NumPy is a generalpurpose arrayprocessing package designed to efficiently manipulate large multidimensional arraysExample 1 The transpose method returns a transposed view of the passed multidimensional matrixPython3import numpymatrix  1 2 3 4 5 6printmatrixprintnprintnumpytransposematrixOutput1 2 3 4 5 61 4 2 5 3 6Example 2 Using T after the variablePython3import numpy as npmatrix  nparray1 2 3 4 5 6printmatrixprintnprintmatrixTOutputAs you can see that both the output are same1 2 3  4 5 61 4 2 5 3 6Fastest way to Transpose a Matrix using ItertoolsPython itertools is a module that provides various functions that work on iterators to produce complex iterators chain is a function that takes a series of iterables and returns one iterableIn this example we are using chain function to convert all the values inside the matrix into a single list and then transpose the matrix This method is way faster then other methodsPython3from itertools import chainimport timeimport numpy as np def transpose2M    n  lenM0    L  listchainM    return Lin for i in rangen start  timetime_nsmatrix  nparray1 2 3 4 5 6end  timetime_nsprinttranspose2matrixprintTime taken endstart nsOutput1 4 2 5 3 6Time taken 108570 ns
142694.0,Puzzle 78 | The lost bus Number,,,"Logical Puzzles,Puzzles",0.0,articles/142694.txt,https://www.geeksforgeeks.org/puzzle-78-the-lost-bus-number/,,Jay was an old friend of Rakesh and was coming to visit him from a small town Jay came over late When Rakesh asked him the reason Jay told him that when he was coming to the city in the bus he had placed his luggage under his seat While getting off he had forgotten to take back the luggage and by the time he had realized the bus had left So he went to a police station to report about it which took him time Rakesh inquired what happened next to which Jay replied that he does not remember the bus number but there was a certain peculiarity about it  the bus number was a perfect square and when turned upside down then it was also a perfect square Jay requested his friend Rakesh to help himRakesh quickly phoned the bus company and came to know they had only 500 buses numbered from 1 to 500 Using this information Rakesh deduced the bus number within a minute Can you tell what was the number   Solution  Bus number was 196Explanation  We know that the only digits which can be turned upside down and still be read as a digit are 0 1 6 8 and 9 The digits 0 1 and 8 remain 0 1 and 8 when turned upside down but 6 becomes 9 and 9 becomes 6 Therefore the possible numbers on the bus are 9 16 81 100 169 and 196 Out of these 196 is the only number which becomes a perfect square when turned over because 961 is the perfect square of 31 Hence 196 is the bus numberThis puzzle is contributed by Feroz Baig Please write comments if you find anything incorrect or you want to share more information about the topic discussed above
138426.0,Print cousins of a given node in Binary Tree,,,"prerna saini,Rajput-Ji,Akanksha_Rai,PranchalKatiyar,rutvik_56,simmytarika5,surinderdawra388,sagartomar9927,rkbhola5,yashagarwal2852002,hardikkoriintern,classroompxico,kirtiagarwal23121999,nakulagrrvt0",0.0,articles/138426.txt,https://www.geeksforgeeks.org/print-cousins-of-a-given-node-in-binary-tree/,,"Given a binary tree and a node print all cousins of given node Note that siblings should not be printedExample  Input  root of below tree 
             1
              
          2     3
               
       4    5  6   7
       and pointer to a node say 5

Output  6 7The idea to first find level of given node using the approach discussed here Once we have found level we can print all nodes at a given level using the approach discussed here The only thing to take care of is sibling should not be printed To handle this we change the printing function to first check for sibling and print node only if it is not siblingBelow is the implementation of above idea C C program to print cousins of a node#include bitsstdchusing namespace std  A Binary Tree Nodestruct Node    int data    Node left right  A utility function to create a new Binary Tree NodeNode newNodeint item    Node temp  new Node    tempdata  item    templeft  tempright  NULL    return temp  It returns level of the node if it ispresent in tree otherwise returns 0int getLevelNode root Node node int level          base cases    if root  NULL        return 0    if root  node        return level      If node is present in left subtree    int downlevel  getLevelrootleft                             node level  1    if downlevel  0        return downlevel      If node is not present in left subtree    return getLevelrootright node level  1  Print nodes at a given level such thatsibling of node is not printed if it exists void printGivenLevelNode root Node node int level     Base cases    if root  NULL  level  2        return      If current node is parent of a node     with given level    if level  2            if rootleft  node  rootright  node            return        if rootleft            cout  rootleftdata           if rootright            cout  rootrightdata          Recur for left and right subtrees    else if level  2            printGivenLevelrootleft node level  1        printGivenLevelrootright node level  1      This function prints cousins of a given nodevoid printCousinsNode root Node node     Get level of given node    int level  getLevelroot node 1      Print nodes of given level    printGivenLevelroot node level  Driver Codeint main    Node root  newNode1    rootleft  newNode2    rootright  newNode3    rootleftleft  newNode4    rootleftright  newNode5    rootleftrightright  newNode15    rootrightleft  newNode6    rootrightright  newNode7    rootrightleftright  newNode8     printCousinsroot rootleftright     return 0  This code is contributed by Akanksha RaiC C program to print cousins of a node#include stdioh#include stdlibh  A Binary Tree Nodestruct Node    int data    Node left right  A utility function to create a new Binary Tree NodeNode newNodeint item    Node temp   new Node    tempdata  item    templeft  tempright  NULL    return temp  It returns level of the node if it is present   in tree otherwise returns 0int getLevelNode root Node node int level     base cases    if root  NULL        return 0    if root  node        return level      If node is present in left subtree    int downlevel  getLevelrootleft node level1    if downlevel  0        return downlevel      If node is not present in left subtree    return getLevelrootright node level1  Print nodes at a given level such that sibling of   node is not printed if it exists  void printGivenLevelNode root Node node int level     Base cases    if root  NULL  level  2        return      If current node is parent of a node with     given level    if level  2            if rootleft  node  rootright  node            return        if rootleft           printfd  rootleftdata        if rootright           printfd  rootrightdata          Recur for left and right subtrees    else if level  2            printGivenLevelrootleft node level1        printGivenLevelrootright node level1      This function prints cousins of a given nodevoid printCousinsNode root Node node     Get level of given node    int level  getLevelroot node 1      Print nodes of given level    printGivenLevelroot node level  Driver Program to test above functionsint main    Node root  newNode1    rootleft  newNode2    rootright  newNode3    rootleftleft  newNode4    rootleftright  newNode5    rootleftrightright  newNode15    rootrightleft  newNode6    rootrightright  newNode7    rootrightleftright  newNode8     printCousinsroot rootleftright     return 0Java Java program to print cousins of a nodepublic class GfG   A Binary Tree Nodestatic class Node    int data    Node left right  A utility function to create a new Binary Tree Nodestatic Node newNodeint item    Node temp  new Node    tempdata  item    templeft  null    tempright  null    return temp  It returns level of the node if it is presentin tree otherwise returns 0static int getLevelNode root Node node int level     base cases    if root  null        return 0    if root  node        return level      If node is present in left subtree    int downlevel  getLevelrootleft node level1    if downlevel  0        return downlevel      If node is not present in left subtree    return getLevelrootright node level1  Print nodes at a given level such that sibling ofnode is not printed if it exists static void printGivenLevelNode root Node node int level     Base cases    if root  null  level  2        return      If current node is parent of a node with     given level    if level  2            if rootleft  node  rootright  node            return        if rootleft  null        Systemoutprintrootleftdata           if rootright  null        Systemoutprintrootrightdata             Recur for left and right subtrees    else if level  2            printGivenLevelrootleft node level1        printGivenLevelrootright node level1      This function prints cousins of a given nodestatic void printCousinsNode root Node node     Get level of given node    int level  getLevelroot node 1      Print nodes of given level    printGivenLevelroot node level  Driver Program to test above functionspublic static void mainString args    Node root  newNode1    rootleft  newNode2    rootright  newNode3    rootleftleft  newNode4    rootleftright  newNode5    rootleftrightright  newNode15    rootrightleft  newNode6    rootrightright  newNode7    rootrightleftright  newNode8     printCousinsroot rootleftrightPython3# Python3 program to print cousins of a node # A utility function to create a new# Binary Tree Nodeclass newNode    def __init__self item        selfdata  item        selfleft  selfright  None # It returns level of the node if it is# present in tree otherwise returns 0def getLevelroot node level         # base cases    if root  None        return 0    if root  node        return level     # If node is present in left subtree    downlevel  getLevelrootleft node                               level  1    if downlevel  0        return downlevel     # If node is not present in left subtree    return getLevelrootright node level  1 # Print nodes at a given level such that# sibling of node is not printed if# it existsdef printGivenLevelroot node level         # Base cases    if root  None or level  2        return     # If current node is parent of a    # node with given level    if level  2        if rootleft  node or            rootright  node            return        if rootleft            printrootleftdata end           if rootright            printrootrightdata end        # Recur for left and right subtrees    elif level  2        printGivenLevelrootleft node level  1        printGivenLevelrootright node level  1 # This function prints cousins of a given nodedef printCousinsroot node         # Get level of given node    level  getLevelroot node 1     # Print nodes of given level    printGivenLevelroot node level # Driver Codeif __name__  __main__    root  newNode1    rootleft  newNode2    rootright  newNode3    rootleftleft  newNode4    rootleftright  newNode5    rootleftrightright  newNode15    rootrightleft  newNode6    rootrightright  newNode7    rootrightleftright  newNode8     printCousinsroot rootleftright     # This code is contributed by PranchalKC# C# program to print cousins of a nodeusing System public class GfG  A Binary Tree Nodeclass Node    public int data    public Node left right  A utility function to create  a new Binary Tree Nodestatic Node newNodeint item    Node temp  new Node    tempdata  item    templeft  null    tempright  null    return temp  It returns level of the nodeif it is present in tree otherwise returns 0static int getLevelNode root            Node node int level     base cases    if root  null        return 0    if root  node        return level      If node is present in left subtree    int downlevel  getLevelrootleft node level  1    if downlevel  0        return downlevel      If node is not present in left subtree    return getLevelrootright node level  1  Print nodes at a given levelsuch that sibling of node is not printed if it exists static void printGivenLevelNode root                    Node node int level     Base cases    if root  null  level  2        return      If current node is parent of a node with     given level    if level  2            if rootleft  node  rootright  node            return        if rootleft  null            ConsoleWriterootleftdata           if rootright  null            ConsoleWriterootrightdata             Recur for left and right subtrees    else if level  2            printGivenLevelrootleft node level  1        printGivenLevelrootright node level  1      This function prints cousins of a given nodestatic void printCousinsNode root Node node     Get level of given node    int level  getLevelroot node 1      Print nodes of given level    printGivenLevelroot node level  Driver codepublic static void MainString args    Node root  newNode1    rootleft  newNode2    rootright  newNode3    rootleftleft  newNode4    rootleftright  newNode5    rootleftrightright  newNode15    rootrightleft  newNode6    rootrightright  newNode7    rootrightleftright  newNode8     printCousinsroot rootleftright  This code is contributed RajputJiJavascriptscript   JavaScript program to print cousins of a node  A Binary Tree Nodeclass Node  constructor      thisdata0    thisleft null    thisright  null    A utility function to create  a new Binary Tree Nodefunction newNodeitem    var temp  new Node    tempdata  item    templeft  null    tempright  null    return temp  It returns level of the nodeif it is present in tree otherwise returns 0function getLevelroot node level     base cases    if root  null        return 0    if root  node        return level      If node is present in left subtree    var downlevel  getLevelrootleft node level  1    if downlevel  0        return downlevel      If node is not present in left subtree    return getLevelrootright node level  1  Print nodes at a given levelsuch that sibling of node is not printed if it exists function printGivenLevelroot node level     Base cases    if root  null  level  2        return      If current node is parent of a node with     given level    if level  2            if rootleft  node  rootright  node            return        if rootleft  null            documentwriterootleftdata           if rootright  null            documentwriterootrightdata             Recur for left and right subtrees    else if level  2            printGivenLevelrootleft node level  1        printGivenLevelrootright node level  1      This function prints cousins of a given nodefunction printCousinsroot node     Get level of given node    var level  getLevelroot node 1      Print nodes of given level    printGivenLevelroot node level  Driver codevar root  newNode1rootleft  newNode2rootright  newNode3rootleftleft  newNode4rootleftright  newNode5rootleftrightright  newNode15rootrightleft  newNode6rootrightright  newNode7rootrightleftright  newNode8printCousinsroot rootleftright scriptOutput6 7Time Complexity  OnAuxiliary Space On due to recursionAnother ApproachIterative ApproachAn efficient and easy to implement approach by level order traversal using queueFollow the below steps to solve this problem1 First perform level order traversal using queue2 Check for each node that its left or right child is match with targetgiven node then dont insert its childrens and mark found variable to true but insert other nodes of just upper nodes in queue3 After insert all the nodes print them and returnBelow is the implementation of above approachC C program to print cousins of a node#include bitsstdchusing namespace std  A Binary Tree Nodestruct Node    int data    Node left right  return a new tree nodeNode newNodeint data    Node temp  new Node    tempdata  data    templeft  tempright  NULL    return temp  function prints the cousins of a given nodevoid printCousinsNode root Node node     base condition    ifroot  NULL return     initializing bool function to track target node     is found or not    bool found  false     initializing queue to perform level order traversal    queueNode q    qpushroot    whileqempty        int n  qsize        forint i  0 in i            Node temp  qfront            qpop            iftempleft  node  tempright  node                found  true            else                iftempleft qpushtempleft                iftempright qpushtempright                            iffound            whileqempty                coutqfrontdata                 qpop                        coutendl            return              Driver Code to test above functionint main    Node root  newNode1    rootleft  newNode2    rootright  newNode3    rootleftleft  newNode4    rootleftright  newNode5    rootleftrightright  newNode15    rootrightleft  newNode6    rootrightright  newNode7    rootrightleftright  newNode8     printCousinsroot rootleftright     return 0 THIS CODE IS CONTRIBUTED BY YASH AGARWALYASHAGARWAL2852002Javapackage whatever do not write package name here  import javaioimport javautil java program to print cousins of a node  A Binary Tree Nodeclass Node  int data  Node left  Node right   Nodeint d    data  d    left  null    right  null    public class Main     function prints the cousins of a given node  public static void printCousinsNode root Node node     base condition    ifroot  null return     initializing bool function to track target node     is found or not    boolean found  false     initializing queue to perform level order traversal    QueueNode q  new LinkedList    qaddroot    whileqsize  0      int n  qsize      forint i  0 in i        Node temp  qremove        iftempleft  node  tempright  node          found  true        else          iftempleft  null qaddtempleft          iftempright  null qaddtempright                    iffound  true        whileqsize  0          Systemoutprintqremovedata                   return               public static void mainString args     Node root  new Node1    rootleft  new Node2    rootright  new Node3    rootleftleft  new Node4    rootleftright  new Node5    rootleftrightright  new Node15    rootrightleft  new Node6    rootrightright  new Node7    rootrightleftright  new Node8     printCousinsroot rootleftright    This Code is contributed by Nidhi goelPython3# python program to print cousins of a node# A binary tree nodeclass Node     def __init__self data        selfdata  data        selfleft  selfright  None   # function prints the cousins of a given nodedef printCousinsroot node    # base condition    if root  None        return    # initializing bool function to track target node    # is found or not    found  False    # intializing queue to perform level order traversal    q      qappendroot    whilelenq  0        n  lenq        for i in rangen            temp  q0            qpop0            if templeft  node or tempright  node                found  True            else                iftempleft                    qappendtempleft                iftempright                    qappendtempright         if found            whilelenq  0                printqpop0data            return # driver code to test above functionroot  Node1rootleft  Node2rootright  Node3rootleftleft  Node4rootleftright  Node5rootleftrightright  Node15rootrightleft  Node6rootrightright  Node7rootrightleftright  Node8 printCousinsroot rootleftright # The code is contributed by Nidhi goelC# C# program to print cousins of a nodeusing Systemusing SystemCollectionsGeneric public class GfG    A Binary Tree Node  class Node      public int data    public Node left right      A utility function to create    a new Binary Tree Node  static Node newNodeint item      Node temp  new Node    tempdata  item    templeft  null    tempright  null    return temp      function prints the cousins of a given node  static void printCousinsNode root Node node     base condition    ifroot  null      return     initializing bool function to track target node     is found or not    bool found  false     initializing queue to perform level order traversal    QueueNode q  new QueueNode    qEnqueueroot    whileqCount0      int n  qCount      forint i  0 in i        Node temp  qDequeue        iftempleft  node  tempright  node          found  true                else          iftempleftnull            qEnqueuetempleft          iftemprightnull            qEnqueuetempright                    iffound        whileqCount0          Node tempqDequeue          ConsoleWritetempdata                 ConsoleWriteLine        return                Driver Code to test above function  public static void MainString args      Node root  newNode1    rootleft  newNode2    rootright  newNode3    rootleftleft  newNode4    rootleftright  newNode5    rootleftrightright  newNode15    rootrightleft  newNode6    rootrightright  newNode7    rootrightleftright  newNode8     printCousinsroot rootleftright   Javascript JavaScript program to print cousins of a node A binary tree node THIS CODE IS CONTRIBUTED BY KIRTI AGARWALKIRTIAGARWAL23121999class Node    constructordata        thisdata  data        thisleft  thisright  null      return a new tree nodefunction newNodedata    return new Nodedata  function prints the cousins of a given nodefunction printCousinsroot node     base condition    ifroot  null return     initializing bool function to track target node     is found or not    let found  false     initializing queue to perform level order traversal    let q      qpushroot    whileqlength  0        let n  qlength        forlet i  0 in i            let temp  qshift            iftempleft  node  tempright  node                found  true                        else                iftempleft qpushtempleft                iftempright qpushtempright                            iffound            whileqlength  0                documentwriteqshiftdata                        return              driver code to test above functionlet root  newNode1rootleft  newNode2rootright  newNode3rootleftleft  newNode4rootleftright  newNode5rootleftrightright  newNode15rootrightleft  newNode6rootrightright  newNode7rootrightleftright  newNode8 printCousinsroot rootleftrightOutput6 7 Time Complexity ON where N is the number of nodes in a given binary treeAuxiliary Space ON due to queue data structureCan we solve this problem using single traversal Please refer below article Print cousins of a given node in Binary Tree  Single TraversalThis article is contributed by Shivam Gupta If you like GeeksforGeeks and would like to contribute you can also write an article and mail your article to reviewteamgeeksforgeeksorg See your article appearing on the GeeksforGeeks main page and help other GeeksRecommendedSolve DSA problems on GfG PracticeSolve Problems"
