id,freq,name
nm0949985,1,Richard Young
nm0238105,1,Robert Drivas
nm0502425,1,Melissa Leo
nm0843775,1,Keith Szarabajka
nm0908824,1,Randall Wallace
nm0139642,1,Charmian Carr
nm2155757,2,Josh Cooley
nm1396121,2,Makoto Shinkai
nm1240453,1,Popeye
nm0890575,1,V. Vasilyev
nm0424060,3,Scarlett Johansson
nm0000497,1,Jennifer Lien
nm1142911,1,Maximiliano Trento
nm2799219,1,Sakshi Tanwar
nm2147779,1,Mark Phoenix
nm0001421,1,George Kennedy
nm0665886,1,Lee Patrick
nm0459252,1,Werner Klemperer
nm2946126,1,Jim Beidler
nm1033905,1,Jack Alexander
nm1795362,1,Kieron Elliott
nm0000349,2,Joan Cusack
nm0036921,1,Charlotte Aronofsky
nm0761836,1,William Sanderson
nm9862860,1,Boluwatife Treasure Bankole
nm0936374,1,Kirk Wise
nm0001709,1,Til Schweiger
nm4655454,1,Ahmad Massad
nm0421772,1,Roy Jenson
nm1117946,1,Rogelio Douglas Jr.
nm5129212,1,Mahesh Balraj
nm0000169,1,Tommy Lee Jones
nm0284315,1,Alison Folland
nm0001943,1,Marisa Berenson
nm0750079,1,Sig Ruman
nm0852281,1,Don Taylor
nm0575293,1,Irene Mecchi
nm3781410,1,Sebastian Bull Sarning
nm0689957,1,Stevo Polyi
nm0663174,1,Charles Parnell
nm0848984,1,Haruo Tanaka
nm0335580,1,Nat Grant
nm0000569,1,Gwyneth Paltrow
nm1185849,1,Solomon Northup
nm0047800,1,Beulah Bains
nm0935247,1,Margo Winkler
nm0000196,1,Mike Myers
nm0594503,8,Hayao Miyazaki
nm0321798,1,Keith A. Glascoe
nm0443286,1,David Kaye
nm0354913,1,Georgia Hale
nm0322339,1,Paul Gleason
nm0946734,1,David Yates
nm0203076,1,Thayer David
nm0000233,11,Quentin Tarantino
nm1322499,1,Jong-ryol Choi
nm0483256,1,Mel Lambert
nm0475752,1,Chiaki Kuriyama
nm0003160,1,Christopher McQuarrie
nm0000582,4,Joe Pesci
nm0000377,2,Richard Dreyfuss
nm0291905,1,David Franzoni
nm0305558,2,Gael García Bernal
nm4522499,1,Keun-rok Park
nm0056228,1,Emma Baron
nm0682300,1,Bradley Pierce
nm0002126,1,Dorian Harewood
nm0615780,2,John Musker
nm0000649,1,Paul Sorvino
nm0538320,1,Alan Mak
nm3587933,1,Sebastián Blanco
nm6492684,1,Jagbir
nm0592395,1,Kamal Mirkarimi
nm0077543,1,Frank Berry
nm3769297,1,Hana Shuan
nm0242803,1,John Dunn-Hill
nm3370641,1,Patrick McCabe
nm0058853,1,Lisbeth Bartlett
nm0942220,1,Ben Wright
nm0470244,1,Peter Krause
nm0868956,1,Guy Torry
nm0635851,1,Lee Norris
nm0643254,1,Tom Oberhaus
nm0318402,1,Michael Gilden
nm0383708,1,Rumi Hiiragi
nm0492566,1,Sean Lawlor
nm4588147,1,Capri Thomas
nm1784515,1,Jacky Ido
nm10520267,1,Neda Margrethe Labba
nm0261452,1,Christine Estabrook
nm0141734,1,Joseph Carter
nm0876300,1,Ulrich Tukur
nm0041066,1,Antonella Attili
nm0130437,1,Bryan Callen
nm0529587,1,Darling Légitimus
nm0694676,1,Leon Pownall
nm3086285,1,Natalia Cordova-Buckley
nm1011740,1,Sachiko Mitani
nm0067672,1,Lia Beldam
nm0000206,1,Keanu Reeves
nm0410968,1,Akira Ishihama
nm0470395,1,Valery Kravchenko
nm0936591,1,Andreas Wisniewski
nm0042805,1,Erick Avari
nm5093499,1,Jasmine Cephas Jones
nm4841898,1,Amine Benzenine
nm0434593,2,Kyôko Kagawa
nm1323287,1,Roe-ha Kim
nm0297538,1,Athol Fugard
nm0080930,2,Edward Biby
nm0586184,1,Alexandre Mihalesco
nm0262745,1,Estelle Evans
nm0154665,1,Paddy Chayefsky
nm9878616,1,Michelle Keserwany
nm1484270,1,Harry Shum Jr.
nm4525883,1,Jang Hye-jin
nm0001691,2,Geoffrey Rush
nm0410659,1,Mitsunori Isaki
nm0001652,7,John Ratzenberger
nm0149218,1,Chafûrin
nm0407030,2,Hisashi Igawa
nm0110063,1,Leo Britt
nm0934902,1,Paul Winfield
nm10928015,1,Mr. Peck
nm1716305,1,Denis Evrard
nm0585116,1,Esther Michelson
nm0128326,1,Frank Cady
nm7164107,1,Miyu Tsuji
nm0861636,1,Roderick Thorp
nm0500201,1,Coco Leigh
nm0843367,1,Robert Symonds
nm0248408,1,Emilio Echevarría
nm0765423,1,Janet Sarno
nm0101533,1,John Boxer
nm0829717,1,Paul Stewart
nm0867391,4,Eijirô Tôno
nm0159059,1,Marcus Chong
nm0269709,1,Frank Faylen
nm0000204,3,Natalie Portman
nm0084430,1,Erwin Biswanger
nm1445789,1,Paulie Litt
nm0297843,1,Susumu Fujita
nm0593565,1,Margaret Mitchell
nm0913346,1,Deric Washburn
nm0012121,1,Charlie Adler
nm1434871,1,Wes Chatham
nm0157058,1,Giulio Chiari
nm0867282,1,Philip Tonge
nm0941314,2,Linda Woolverton
nm7994173,1,Joseph Bradley
nm0933161,1,Charles C. Wilson
nm0040717,1,Fort Atkinson
nm0156039,1,Virginia Cherrill
nm2173724,1,Émilie Caen
nm0001199,1,Dennis Farina
nm0000020,3,Henry Fonda
nm0122767,1,Lisa Burns
nm0835836,1,Randy Stuart
nm11261148,1,Jae-myeong Jo
nm0425711,1,Malcolm Johnson
nm0529543,1,Jean-Pierre Léaud
nm0715953,1,Roger Rees
nm2031248,1,Alba Gaïa Bellugi
nm0325989,1,Renée Elise Goldsberry
nm0001057,2,Toni Collette
nm0641939,1,Ryan O'Neal
nm4609731,1,Kaitlyn Dias
nm1180138,1,Amelia Batchelor
nm0701023,2,Jack Purvis
nm0000146,3,Ralph Fiennes
nm0006249,2,Satyajit Ray
nm0112390,1,Anthony Brophy
nm0000378,1,Minnie Driver
nm0864797,1,Hisao Toake
nm0002285,1,Pat O'Brien
nm0253574,1,Josip Elic
nm0644979,1,Kenji Ohba
