year,no_of_movies,movie_ids
1921,1,tt0012349
1924,1,tt0015324
1925,1,tt0015864
1926,1,tt0017925
1927,1,tt0017136
1928,1,tt0019254
1931,2,"tt0021749,tt0022100"
1934,1,tt0025316
1936,1,tt0027977
1939,3,"tt0031381,tt0031679,tt0032138"
1940,3,"tt0032553,tt0032551,tt0032976"
1941,1,tt0033467
1942,2,"tt0034583,tt0035446"
1944,1,tt0036775
1946,2,"tt0038650,tt0036868"
1948,2,"tt0040522,tt0040897"
1949,1,tt0041959
1950,3,"tt0043014,tt0042192,tt0042876"
1952,2,"tt0045152,tt0044741"
1953,2,"tt0046268,tt0046438"
1954,4,"tt0047478,tt0047396,tt0046912,tt0047296"
1955,1,tt0048473
1957,6,"tt0050083,tt0050825,tt0051201,tt0050212,tt0050986,tt0050976"
1958,1,tt0052357
1959,4,"tt0053125,tt0053291,tt0052618,tt0053198"
1960,2,"tt0054215,tt0053604"
1961,2,"tt0055031,tt0055630"
1962,3,"tt0056058,tt0056172,tt0056592"
1963,2,"tt0057565,tt0057115"
1964,1,tt0057012
1965,2,"tt0059578,tt0059742"
1966,3,"tt0060196,tt0058946,tt0060827"
1967,1,tt0061512
1968,2,"tt0064116,tt0062622"
1971,1,tt0066921
1972,1,tt0068646
1973,2,"tt0070735,tt0070047"
1974,2,"tt0071562,tt0071315"
1975,5,"tt0073486,tt0071853,tt0072684,tt0073195,tt0071411"
1976,3,"tt0075314,tt0075148,tt0074958"
1977,1,tt0076759
1978,1,tt0077416
1979,3,"tt0078748,tt0078788,tt0079470"
1980,4,"tt0080684,tt0081505,tt0080678,tt0081398"
1981,2,"tt0082971,tt0082096"
1982,3,"tt0084787,tt0083658,tt0083987"
1983,2,"tt0086190,tt0086250"
1984,3,"tt0086879,tt0087843,tt0088247"
1985,3,"tt0088763,tt0091251,tt0089881"
1986,3,"tt0090605,tt0091763,tt0092005"
1987,1,tt0093058
1988,4,"tt0095327,tt0095765,tt0095016,tt0096283"
1989,2,"tt0097576,tt0097165"
1990,1,tt0099685
1991,3,"tt0102926,tt0103064,tt0101414"
1992,3,"tt0105236,tt0105695,tt0103639"
1993,4,"tt0108052,tt0107290,tt0107207,tt0107048"
1994,5,"tt0111161,tt0110912,tt0109830,tt0110413,tt0110357"
1995,8,"tt0114369,tt0114814,tt0112573,tt0114709,tt0113277,tt0112641,tt0112471,tt0113247"
1996,2,"tt0117951,tt0116282"
1997,5,"tt0118799,tt0119698,tt0119217,tt0119488,tt0118849"
1998,5,"tt0120815,tt0120586,tt0120382,tt0120735,tt0118715"
1999,5,"tt0137523,tt0133093,tt0120689,tt0169547,tt0167404"
2000,5,"tt0172495,tt0209144,tt0180093,tt0208092,tt0245712"
2001,5,"tt0120737,tt0245429,tt0211915,tt0268978,tt0198781"
2002,4,"tt0167261,tt0317248,tt0253474,tt0264464"
2003,6,"tt0167260,tt0364569,tt0266697,tt0266543,tt0353969,tt0325980"
2004,7,"tt0338013,tt0363163,tt0347149,tt0405159,tt0395169,tt0381681,tt0317705"
2005,3,"tt0372784,tt0434409,tt0476735"
2006,4,"tt0407887,tt0482571,tt0405094,tt0457430"
2007,5,"tt0986264,tt0469494,tt0477348,tt0758758,tt0382932"
2008,3,"tt0468569,tt0910970,tt1205489"
2009,6,"tt0361748,tt1187043,tt1049413,tt1305806,tt0978762,tt1028532"
2010,5,"tt1375666,tt0435761,tt1255953,tt1130884,tt0892769"
2011,5,"tt1675434,tt1832382,tt1291584,tt1201607,tt1454029"
2012,3,"tt1853728,tt1345836,tt2106476"
2013,4,"tt0993846,tt1392214,tt2024544,tt1979320"
2014,5,"tt0816692,tt2582802,tt2267998,tt2278388,tt3011894"
2015,4,"tt2096673,tt3170832,tt1392190,tt1895587"
2016,4,"tt5311514,tt5074352,tt2119532,tt4016934"
2017,3,"tt2380307,tt5027774,tt3315342"
2018,4,"tt4154756,tt4633694,tt8267604,tt6966692"
2019,6,"tt6751668,tt7286456,tt4154796,tt8579674,tt4729430,tt1950186"
2020,2,"tt8503618,tt10272386"
2021,2,"tt10872600,tt15097216"
2022,2,"tt1745960,tt6710474"
