question,company,rating,position,date,comments
Basic algos questions,Interviewed at Google,4.3,AI Researcher,29 Mar 2019,3
4 16 64 256 solve using for loop.,Interviewed at Trutech Web Solutions,2.9,Java Developer AI,1 Dec 2015,3
Tell us about your projects and resume,Interviewed at Pirimid Fintech,4.7,AI/ML Engineer,9 Jul 2021,2
Assignment was building an algorithm to play the game of Ur (complete some functions in existing code). 1st interview revolved around the implementation and if the approach will converge,Interviewed at NewsBytes,3.3,AI Engineer,6 May 2024,2
How to make comments classification?,Interviewed at zarplata.ru,5,AI/ML Engineer,27 Oct 2021,1
They asked me which algo will use use if you want to recommed hotels for user based on his previous price search history,Interviewed at WB Hotels & Resorts.,-0.10000000149011612,AI Ml,15 Mar 2022,1
The interviewer asked me to sort a dictionary in place in python.,Interviewed at E42.ai,4.5,AI Platfrom Developer,2 Aug 2022,1
What was your previous expereince,Interviewed at INOYAD Technologies,-0.10000000149011612,AI/ML Engineer,31 Jul 2023,1
The main thing they focused on the major project and technologies used in it.,Interviewed at MKCL,3.6,AI/ML Development,10 Jun 2021,1
The company is apparently building software for  teleoperated vehicles.  It was more an  informal conversations  than a structured interview.,Interviewed at Scotty Labs,5,AI Software,18 Apr 2018,1
"1- why do you think you're right for this job?
2- hoe do you deal with unbalanced data?
3- what do you know about sensor fusion?",Interviewed at Baker Hughes,3.9,Lead AI Specialist,4 Jan 2021,1
What is autoencoders in DL?,Interviewed at Cerebrone,5,AI/ML Engineer,7 Sept 2023,1
Sort a dictionary in-place in memory.,Interviewed at E42.ai,4.5,AI Platform Engineer,13 May 2024,1
How are you dpoing this morning,Interviewed at Emotech,4,AI Engineer,26 Jul 2023,1
how to recognize very small objects,Interviewed at Silo AI,3.6,AI Engineer,29 Jul 2024,1
how to recognize very small objects,Interviewed at Silo AI,3.6,AI Engineer,29 Jul 2024,1
What is A*,Interviewed at Venago Innovations,3.7,AI Engineer,19 Dec 2019,1
“What factors in the pose detection AI need to be considered based on exercise science principles with regards to the prescription and monitoring of exercise?”,Interviewed at Dresio,5,Exercise AI Scientist,23 Jan 2022,1
"When I share one of my research experience, they ask me why you use this model as your baseline model?",Interviewed at MobileDrive,3.3,AI/ML Intern,23 Apr 2024,1
How do you segment an image using image processing techniques?,Interviewed at Autoyos,4.2,AI/ML Engineer,17 May 2024,1
What is your familiarity programming AI in a game-production context?,Interviewed at Rockstar Games,3.7,AI/Gameplay Programmer,29 Apr 2023,1
Do you accept work overtime?,Interviewed at Huawei Technologies,3.6,AI Engineer,8 Jan 2023,1
"Given a decimal number, compute the reverse.",Interviewed at Huawei Technologies,3.6,AI Research Engineer,25 Aug 2022,1
What salary are you looking for?,Interviewed at World AI University,-0.10000000149011612,Chief AI Officer,2 Jan 2025,1
Why do you need this job,Interviewed at Flitto,2.6,AI Trainer,29 Oct 2024,1
Have you worked on any projects dealing with AI or NLP before?,Interviewed at Lakmoos,3,AI/ML Engineer,26 Nov 2024,1
Was asked to explain my project,Interviewed at UnBoxing Community,1.4,Gen AI intern,20 Jul 2024,1
Fill a screen output with yellow pixels,Interviewed at Helsing,4.4,Deployed AI Engineer,14 Feb 2025,1
Pick a Google product and improve it.,Interviewed at WSC Sports,4.4,AI Product Manager,23 Nov 2024,1
"They asked me to complete sixteen tasks, ranging from writing a short story to assessing the quality of a Chatbot's reponse to a research task.","Interviewed at Labellerr, Automated AI and Data Annotation",4.3,AI Data Annotator,26 Jan 2024,1
"1st question  of BFS ,2nd question  on DFS and last question  on knn algorithm.",Interviewed at Thirumoolar Software,4.1,AI Engineer,2 Oct 2024,1
By educational background etc The standard stuff. Nothing to my surprise. Went quite smoothly and nice from my part.,Interviewed at Norconsult,3.7,Junior ML/AI Engineer,16 Nov 2022,1
"GD: topic= AI

The interviewer will be  busy talking in phone and doesn't care what you will discuss.

Later, one needs to showcase technical projects",Interviewed at OneYes Technologies,3.9,ML/AI Intern,6 Mar 2024,1
"Technical question. The interviewee will solve a case problem. It is not LeetCode questions like SDE, but more like a case study of applying AI techniques to real-world problems.",Interviewed at SymTrain,4.5,ML/AI Intern,8 Apr 2024,1
"1. Why is python interpreted language 
2. How would you do call by reference in python
3.  They showed me a snapshot of a code and said what will be the output
4. Which sort is quick or merge and why?
5. How can you reverse a list without using a loop
6. What is the difference between class and instance 
7. What is the efficient way to know which graph is strongly connected
8. what is the difference between AI, ML, and DL
9. A patient has come in who has a critical condition emergency surgery is needed now you have a doctor who has 80% accuracy and a Machine learning model who has an accuracy of 90% whom will you choose and why 
10. Can you explain Deep-Q-Learning to me in less than 1 min [Assume that I am a child]
11. What is the complexity of hashtable if a linked list was used?
12.  How to reverse an infinite linked list 
13. What does Itertool do in python
and all other questions were based on the previous coding exams question",Interviewed at Next Solution Lab,2.8,AI Engineer,1 Apr 2022,1
Can you tell us about the work you did in your PhD?,Interviewed at The Insolvency Group,3.8,AI/ML Engineer,20 May 2024,1
what is Your university and major,Interviewed at VC Corp,3.6,AI Engineer,23 Jul 2024,1
Design a chatbot / RAG system with some additional specifications. There was about 20 hours between setting the task and the review of the solution.,Interviewed at Juro,4.7,Senior AI Engineer,31 Jan 2025,1
What are various projects that you have worked on?,Interviewed at Inventec,3.2,AI Engineer,10 Mar 2021,1
"During the interview, the majority of the questions focused on my research and project experience. Unfortunately, the tone of the conversation gave me the impression that a candidate had already been identified, or that the interview was merely a formality",Interviewed at DeepSig,4.1,AI/ML Engineer,28 May 2024,1
How much experience have you had with Generative and other AI?,Interviewed at Consensys,3.4,Senior AI Research Engineer,31 May 2024,1
"2. Given a system they already have with undesirable behavior (they show you their videos), how to fix its issues and shortcomings. They want you to tell them all you know basically (why it is not working, how to fix it, why and so on).",Interviewed at SportLogIQ,3.6,Senior AI Researcher,8 Feb 2023,1
They really wabt to know about what kind of culture you are looking for,Interviewed at Solita,4.3,AI Engineer,12 Jan 2025,1
"1. Noddy lastest land problem
2. Out of four molecule mass provided, how many molecules are needed to form the target molecule X",Interviewed at SAP,4.2,Senior Developer AI,9 Jul 2024,1
What AI methods do you know of are used in video game AI development?,Interviewed at Splash Damage,2,AI Programmer,29 Oct 2020,1
What do you think is the difference between AI in research and AI in industry?,Interviewed at Splash Damage,2,AI Programmer,29 Oct 2020,1
1. Salary expectations 2. Have you had any issues with a coworker in the past? How did you resolve them? 3. Tell us about yourself. 4. Why do you want to leave your current job? 5. Do you have any questions for us?,Interviewed at Superside,4.4,Creative (Generative AI),27 Sept 2023,1
Minimum Cost to Cut a Stick,Interviewed at Scale,3.3,AI Trainer,16 Jul 2024,1
What is your highest level of education,Interviewed at Scale,3.3,AI Trainer,9 May 2023,1
Difference between Chess and Candy Crush?,Interviewed at King,3.4,AI & Machine Learning - Internship/Master Thesis,9 Aug 2019,1
Beschreiben Sie ihre Erfahrungen mit AI.,Interviewed at Hexagon,3.9,"Experts/Senior Experts AI ""Artical Intelligence"" (f/m)",10 Jun 2019,1
Assume A remains constant but many calculations as described in question 1 need to be performed on A. Find a more efficient method to compute sums over subarray elements.,Interviewed at Untether AI,3.8,AI Intern,16 Jul 2024,1
Write a C function that computes the mean of a subarray of a 2-dimensional array A of integers.,Interviewed at Untether AI,3.8,AI Intern,16 Jul 2024,1
Tell me about yourself and why Amazon?,Interviewed at Amazon Web Services,3.7,AI Content Writer,24 Sept 2024,1
Classical questions of the fields of your experience?,Interviewed at DataArt,4.4,AI/ML Engineer,4 Jun 2021,1
Tell me what we should build next?,Interviewed at Synthesia,4.7,Product Manager - Generative AI,19 Feb 2023,1
Why do you think we should help you just because choose to join the military.,Interviewed at Amazon,3.6,Senior AI Engineer,11 Apr 2017,1
How you approach developing a language model with small amounts of data,Interviewed at FNZ,3.1,AI Developer,9 Aug 2022,1
Decision tree projects Naive bayes,Interviewed at Amazon,3.6,AI/ML Engineer,17 Jul 2023,1
About project and my contribution,Interviewed at Amazon,3.6,GO-AI Associate,21 Jun 2024,1
General questions around my CV and experience.,Interviewed at Yell,3.3,Conversational AI Analyst,26 Jan 2022,1
Q: name a product which really impressed you,Interviewed at Yell,3.3,Conversational AI Analyst,12 Jan 2023,1
Why do you think we should help you just because choose to join the military.,Interviewed at Amazon,3.6,Senior AI Engineer,11 Apr 2017,1
How does queuing theory apply to traffic?,Interviewed at Micron Technology,3.8,Smart Manufacturing and AI Internship,29 Mar 2022,1
"two bags problem, easy but the time limitation is strict, have to use dynamic programing instead of recursive",Interviewed at NetEase Games,3.4,AI Engineer,14 Apr 2018,1
"- generic algorithm questions
- generic data management questions
- generic HR questions",Interviewed at Apple,4.1,"AI/ML - Data Engineer (Natural Language), Siri Understanding",23 Aug 2021,1
Interview yourself in the language you are applying for.,Interviewed at Outlier AI,3.2,AI Annotator,12 Mar 2025,1
Tell us some specific background you'd like to contribute to outlier?,Interviewed at Outlier AI,3.2,"Native language Ai trainer, Bengali",10 May 2024,1
Tell a story on your hobbies or things that you like to do?,Interviewed at Outlier AI,3.2,"Native language Ai trainer, Bengali",10 May 2024,1
I had to take an onboarding assessment and complete training exercises,Interviewed at Outlier AI,3.2,AI writing evaluator,7 Jun 2024,1
Interview yourself in the language you are applying for.,Interviewed at Outlier AI,3.2,AI Annotator,12 Mar 2025,1
Tell us some specific background you'd like to contribute to outlier?,Interviewed at Outlier AI,3.2,"Native language Ai trainer, Bengali",10 May 2024,1
Tell a story on your hobbies or things that you like to do?,Interviewed at Outlier AI,3.2,"Native language Ai trainer, Bengali",10 May 2024,1
I had to take an onboarding assessment and complete training exercises,Interviewed at Outlier AI,3.2,AI writing evaluator,7 Jun 2024,1
"- generic algorithm questions
- generic data management questions
- generic HR questions",Interviewed at Apple,4.1,"AI/ML - Data Engineer (Natural Language), Siri Understanding",23 Aug 2021,1
"two bags problem, easy but the time limitation is strict, have to use dynamic programing instead of recursive",Interviewed at NetEase Games,3.4,AI Engineer,14 Apr 2018,1
Why use an ArrayList over an array?,Interviewed at Dell Technologies,3.8,Principal Front End Developer (AI),23 Aug 2024,1
They asked me to explain about Transformers.,Interviewed at Acviss,4.8,AI/Data Science Internship,18 Jun 2024,1
Do you know Javascript and Typescript?,Interviewed at DevRev,4.4,Applied AI Engineer,4 Jul 2024,1
