question,company,rating,position,date,comments
Describe yourself,Interviewed at Acuverco Pharmaceuticals,-0.1000000014901161,Data Analyst,9 Jan 2020,55
What was the last gift you gave someone?,Interviewed at Gallup,4.4,Data Analyst,23 Mar 2013,17
No questions were difficult,Interviewed at FSA,3.7,Data Analyst,13 Dec 2014,12
"100 even number in ascending order first 50 number average is N then all the number average is 
a N+49
B N+50
C N+55",Interviewed at Zoho,4.4,Data Analyst,2 Dec 2017,9
"Two players are at deuce in a tennis match - player 1 has 60% of winning the point, player 2 has 40% chance. What are the odds of player 1 winning?",Interviewed at Optiver,3.6,Data Analyst,16 Feb 2015,9
"Case interview: basic business problem (if product X costs Capital One $4.00 per unit, with a $800 sunk cost, and we charge X amount of dollars along with a $10 annual fee, how many do we need to sell to break even, etc). Followed by a longer discussion of more complex problems that the situation might entail.",Interviewed at Capital One,4.0,Data Analyst,9 Nov 2010,8
Linear regression,Interviewed at Arzenovo Pharmaceutical,1.3,Data Analyst,24 Sept 2019,8
"They check for your attitude, your approach and your anxiety level! I solved both the case studies and I know I rocked the behavioral and Data challenge round, but still didn't ended up not being selected, why?",Interviewed at Capital One,4.0,Senior Data Analyst,13 Dec 2016,7
if there are 5 people in a room and each chooses a number from 1 to 10 at random what is the probability that two or more people have the same number,Interviewed at BAE Systems,3.9,Data Analyst,2 Jan 2010,7
"Given three tables, user_dimension (user_id and account_id), account_dimension (account_id and paying_customer), and download_facts (date, user_id, and downloads), find the average number of downloads for free vs paying customers broken out by day.",Interviewed at Uber,3.8,Data Analyst,2 Jun 2017,6
"If you have 10 bags of marbles with 10 marbles each and one bag has marbles that weigh differently than the others, how would you figure it out from one weighing",Interviewed at Google,4.3,Data Analyst,24 Dec 2012,6
"Many personality questions and situation based question (i.e. What would you do if you are in XYZ situation, how would you respond?)

 Tell me a time when you were in a difficult situation at work, how did you rectify the issue?",Interviewed at FSA,3.7,"Data Analyst In Washington, DC",21 Dec 2014,6
"There are 25 horses, and you want to rank the fastest 3 horses out of those 25. In each race, only 5 horses can run at the same time because there are only 5 tracks. What is the minimum number of races required to find the 3 fastest horses without using a stopwatch?",Interviewed at Wix,4.1,Data Analyst,15 Jan 2016,6
"What are 5 uncommon uses of a brick, not including building, layering, or a paper-weight?",Interviewed at Kaplan,3.7,Data Analyst,21 Jul 2009,7
"A car starts driving at 60 mph, one hour later a car leaves the same position going 80 mph. How much time will pass until the second car catches the first?",Interviewed at Uber,3.8,Data Analyst,2 Jun 2017,5
How do you work under pressure?,Interviewed at Newrest,2.9,Data Analyst,3 Mar 2022,5
Everything related to basic accounts. Questions on P&L and Balance Sheet.,Interviewed at Morningstar,4.0,Research Data Analyst,31 Jul 2018,5
1. What is UNION CORR in SQL?,Interviewed at Kotak Mahindra Bank,3.5,Data Analyst,8 May 2022,5
"Given a plot of land and $250,000, what can you do to maximize your revenue and what kinds of data would you look at to do so?",Interviewed at Rocket Fuel,3.5,Data Analyst,5 Jun 2013,4
"What was your opinion of the film ""Blair Witch Project""",Interviewed at Jefferies,3.9,Data Analyst,25 Sept 2014,5
"almost evrything on java ,DBMS.",Interviewed at Modak,3.6,Data Analyst,19 Aug 2018,4
"1st round technical round. They will ask about demographic tools, SQL and python few questions. 1:3 interview process?",Interviewed at Flipkart,3.8,Data Analyst,28 Apr 2021,4
Tons of behavioral questions encountered in the whole process- What would you do if there was a problem within your team etc..,Interviewed at JPMorganChase,4.1,Investment Data Operations Specialist (Pricing Analyst),2 Dec 2009,3
"how did you analyze data? 
Who uses your data analysis results?
how large is the data set you work with?
sql question one: the first table is customer purchase table, with five columns, customer id, purchase date, product id, unit price, unit purchased, write queries to retrieve data with unique customer id that made over $100 purchase in the past seven days.
sql question two: a second table is the customer details table, with two columns, customer id, registration date, write queries to retrieve data with unique customer id that made over $100 purchase who registered in the past ten days.
probability question: what is the probability of generating ten consecutive numbers in ascending order out of 100 numbers? this is a random number generation question.",Interviewed at Amazon,3.6,Data Analyst,9 Nov 2016,4
Estimate how many shoes can be sold in US in one year?,Interviewed at Enova,3.6,Data Analyst,22 May 2012,4
I was aske to specify as many ways to return the rowcount in the table.,Interviewed at Microsoft,4.2,Data Analyst,25 Sept 2009,4
Tell me about a time when you couldn't meet a deadline?,Interviewed at Cox Communications,3.9,Data Analyst,22 Mar 2014,4
"-sql query based on Transaction table data with group by,sum,avg,order by.
-Python program(Find prime number),Given data set to analyze using pandas.",Interviewed at Nineleaps Technology Solutions,4.0,Data Analyst,31 May 2022,4
"Case 1: 
Given  APR, Interchange fee, Avg monthly balance, Avg spend every month, and loss rate of 3% calculate the profit per customer.
Now justify if it is profitable to give cash back to the customers..
Case 2:
2 ways of campaigning for credit cards
1. Email - 10% of applicants become customers - each representative can verify 10 email applications in an hr and is paid $25/hr
2. Chat - 20% of applicants become customers - each representative can respond to 4 applications in an hr and is paid $25/hr
Profit per customer in both the cases in $100.
which one is profitable email or chat.
Draw the graph of profit vs no of applicants
Consider a scenario where there are only 5 representatives to handle applications.
In this case which one is more profitable email or chat.
calculate the breakeven point for the no of representatives where chat will be profitable than email.",Interviewed at Capital One,4.0,Senior Data Analyst,18 Mar 2016,4
Questions based on various situations related,Interviewed at Clootrack,4.2,Data Analyst Intern,8 Mar 2024,4
