title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
Was Count Dracula Real?,Heather Moore Niver,juvenile_literature,First published in 2017,/works/OL28387886W,/authors/OL6839789A/Heather_Moore_Niver,/images/icons/avatar_book-sm.png,"Publish Date 2017|Publisher  Enslow Publishing, LLC|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Cloning,Cathleen Small,juvenile_literature,First published in 2018,/works/OL28387264W,/authors/OL7536717A/Cathleen_Small,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Cavendish Square Publishing LLC|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Let's Go to a Carnival,Benjamin Proudfit,juvenile_literature,First published in 2019,/works/OL28387371W,/authors/OL7529515A/Benjamin_Proudfit,/images/icons/avatar_book-sm.png,"Publish Date 2019|Publisher  Stevens Publishing LLLP, Gareth|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
400-Year-Old Sharks!,Joni Kelly,juvenile_literature,First published in 2018,/works/OL28387083W,/authors/OL7800431A/Joni_Kelly,/images/icons/avatar_book-sm.png,"Publish Date 2018|Publisher  Stevens Publishing LLLP, Gareth|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Circulatory System,Tayler Cole,juvenile_literature,First published in 2018,/works/OL28387206W,/authors/OL8534726A/Tayler_Cole,/images/icons/avatar_book-sm.png,"Publish Date 2018|Publisher  Stevens Publishing LLLP, Gareth|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Barbers,Christine Honders,juvenile_literature,First published in 2019,/works/OL28387707W,/authors/OL7603926A/Christine_Honders,/images/icons/avatar_book-sm.png,Publish Date 2019|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Naked Mole-Rats,Emily Hudd,juvenile_literature,First published in 2019,/works/OL28387552W,/authors/OL7904457A/Emily_Hudd,/images/icons/avatar_book-sm.png,Publish Date 2019|Publisher  Capstone|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
This Book Can Poison!,Therese M. Shea,juvenile_literature,First published in 2019,/works/OL28387677W,/authors/OL7766032A/Therese_M._Shea,/images/icons/avatar_book-sm.png,"Publish Date 2019|Publisher  Stevens Publishing LLLP, Gareth|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Simple Machines at the Amusement Park,Tammy Laura Lynn Enz,juvenile_literature,First published in 2019,/works/OL28387536W,/authors/OL7736480A/Tammy_Laura_Lynn_Enz,/images/icons/avatar_book-sm.png,Publish Date 2019|Publisher  Capstone|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
American Ghosts,Kate Mikoley,juvenile_literature,First published in 2019,/works/OL28387576W,/authors/OL7905400A/Kate_Mikoley,/images/icons/avatar_book-sm.png,"Publish Date 2019|Publisher  Enslow Publishing, LLC|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Wacky Moments in Sports,Alix Wood,juvenile_literature,First published in 2014,/works/OL28369938W,/authors/OL7060049A/Alix_Wood,/images/icons/avatar_book-sm.png,"Publish Date 2014|Publisher  Stevens Publishing LLLP, Gareth|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Exploring the Life, Myth, and Art of Ancient Vikings",Tony Allan,juvenile_literature,First published in 2011,/works/OL28370157W,/authors/OL844013A/Tony_Allan,/images/icons/avatar_book-sm.png,Publish Date 2011|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Beavers,Greg Roza,juvenile_literature,First published in 2014,/works/OL28369942W,/authors/OL1388072A/Greg_Roza,/images/icons/avatar_book-sm.png,"Publish Date 2014|Publisher  Stevens Publishing LLLP, Gareth|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Montana,Ruth Bjorklund,juvenile_literature,First published in 2013,/works/OL28369821W,/authors/OL21248A/Ruth_Bjorklund,/images/icons/avatar_book-sm.png,Publish Date 2013|Publisher  Cavendish Square Publishing LLC|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Superstar Reptiles,Louise Spilsbury,juvenile_literature,First published in 2014,/works/OL28369954W,/authors/OL1394428A/Louise_Spilsbury,/images/icons/avatar_book-sm.png,Publish Date 2014|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Tennessee,Rick Petreyick,juvenile_literature,First published in 2013,/works/OL28369823W,/authors/OL10525324A/Rick_Petreyick,/images/icons/avatar_book-sm.png,Publish Date 2013|Publisher  Cavendish Square Publishing LLC|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Insider's Guide to Football,Don Van Pelt,juvenile_literature,First published in 2014,/works/OL28369967W,/authors/OL8015239A/Don_Van_Pelt,/images/icons/avatar_book-sm.png,Publish Date 2014|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Giant Giraffes,Ryan Nagelhout,juvenile_literature,First published in 2013,/works/OL28369785W,/authors/OL7129484A/Ryan_Nagelhout,/images/icons/avatar_book-sm.png,"Publish Date 2013|Publisher  Stevens Publishing LLLP, Gareth|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Sharks,David Stephens,juvenile_literature,First published in 2014,/works/OL28369951W,/authors/OL1135765A/David_Stephens,/images/icons/avatar_book-sm.png,Publish Date 2014|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
I Feel Scared,Katie Kawa,juvenile_literature,First published in 2013,/works/OL28369304W,/authors/OL6936609A/Katie_Kawa,/images/icons/avatar_book-sm.png,"Publish Date 2013|Publisher  Stevens Publishing LLLP, Gareth|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
I See a Squirrel,Alex Appleby,juvenile_literature,First published in 2013,/works/OL28369307W,/authors/OL7148539A/Alex_Appleby,/images/icons/avatar_book-sm.png,"Publish Date 2013|Publisher  Stevens Publishing LLLP, Gareth|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Weird Animals in the Wild,Alix Wood,juvenile_literature,First published in 2013,/works/OL28369710W,/authors/OL7060049A/Alix_Wood,/images/icons/avatar_book-sm.png,Publish Date 2013|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Animals All Day!,Joanne Ruelos Diaz,juvenile_literature,First published in 2014,/works/OL28369986W,/authors/OL7604934A/Joanne_Ruelos_Diaz,/images/icons/avatar_book-sm.png,Publish Date 2014|Publisher  Capstone|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Basics of Matter,John O. E. Clark,juvenile_literature,First published in 2014,/works/OL28369965W,/authors/OL2664848A/John_O._E._Clark,/images/icons/avatar_book-sm.png,Publish Date 2014|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Planes,John Perritano,juvenile_literature,First published in 2013,/works/OL28369783W,/authors/OL5048684A/John_Perritano,/images/icons/avatar_book-sm.png,"Publish Date 2013|Publisher  Stevens Publishing LLLP, Gareth|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Zest,Tamra B. Orr,juvenile_literature,First published in 2013,/works/OL28369739W,/authors/OL2775845A/Tamra_B._Orr,/images/icons/avatar_book-sm.png,Publish Date 2013|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
