title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
Tundra Experiments,"Gardner, Robert",juvenile_literature,First published in 2014,/works/OL28391815W,/authors/OL188128A/Gardner_Robert,/images/icons/avatar_book-sm.png,"Publish Date 2014|Publisher  Enslow Publishing, LLC|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Emma Watson,Kathy Furgang,juvenile_literature,First published in 2018,/works/OL28392504W,/authors/OL240358A/Kathy_Furgang,/images/icons/avatar_book-sm.png,"Publish Date 2018|Publisher  Enslow Publishing, LLC|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Salvador,Alicia Klepeis,juvenile_literature,First published in 2019,/works/OL28391998W,/authors/OL7641110A/Alicia_Klepeis,/images/icons/avatar_book-sm.png,Publish Date 2019|Publisher  Cavendish Square Publishing LLC|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
How Annie Made It to the Stage,Jeri Freedman,juvenile_literature,First published in 2018,/works/OL28392377W,/authors/OL1391971A/Jeri_Freedman,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Cavendish Square Publishing LLC|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
I Am Alert Online,Rachael Morlock,juvenile_literature,First published in 2019,/works/OL28391950W,/authors/OL7633141A/Rachael_Morlock,/images/icons/avatar_book-sm.png,Publish Date 2019|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Viola Davis,Kathy Furgang,juvenile_literature,First published in 2018,/works/OL28392505W,/authors/OL240358A/Kathy_Furgang,/images/icons/avatar_book-sm.png,"Publish Date 2018|Publisher  Enslow Publishing, LLC|Language English",This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
Adventures in STEAM,Izzi Howell,juvenile_literature,First published in 2018,/works/OL28392383W,/authors/OL7536718A/Izzi_Howell,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Capstone|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Importance of Plants to Life on Earth,Yea Bae,juvenile_literature,First published in 2018,/works/OL28392522W,/authors/OL10528640A/Yea_Bae,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Universal Health Care,Marcia Amidon Lüsted,juvenile_literature,First published in 2019,/works/OL28392067W,/authors/OL6575654A/Marcia_Amidon_Lüsted,/images/icons/avatar_book-sm.png,Publish Date 2019|Publisher  Greenhaven Publishing LLC|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Air Quality and Pollution,Kaitlyn Duling,juvenile_literature,First published in 2018,/works/OL28392387W,/authors/OL7632960A/Kaitlyn_Duling,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Cavendish Square Publishing LLC|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Costa Rica,Erin Foley,juvenile_literature,First published in 2017,/works/OL28392223W,/authors/OL10526344A/Erin_Foley,/images/icons/avatar_book-sm.png,Publish Date 2017|Publisher  Cavendish Square Publishing LLC|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Mark Pincus and Zynga,Sarah Machajewski,juvenile_literature,First published in 2013,/works/OL28374067W,/authors/OL7598584A/Sarah_Machajewski,/images/icons/avatar_book-sm.png,Publish Date 2013|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Mujeres en la Política (Women in Politics),Miriam Coleman,juvenile_literature,First published in 2015,/works/OL28374612W,/authors/OL6512968A/Miriam_Coleman,/images/icons/avatar_book-sm.png,Publish Date 2015|Publisher  Rosen Publishing Group|Language Spanish,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Sensing the World,Thomas Canavan,juvenile_literature,First published in 2015,/works/OL28374628W,/authors/OL3337016A/Thomas_Canavan,/images/icons/avatar_book-sm.png,Publish Date 2015|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Lifeguard,Louise Spilsbury,juvenile_literature,First published in 2015,/works/OL28374594W,/authors/OL1394428A/Louise_Spilsbury,/images/icons/avatar_book-sm.png,"Publish Date 2015|Publisher  Rosen Publishing Group,              Powerkids Pr|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Electrician,Jeri Freedman,juvenile_literature,First published in 2015,/works/OL28374803W,/authors/OL1391971A/Jeri_Freedman,/images/icons/avatar_book-sm.png,Publish Date 2015|Publisher  Cavendish Square Publishing LLC|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Forest Fire Creates Inferno,Louise Spilsbury,juvenile_literature,First published in 2017,/works/OL28383564W,/authors/OL1394428A/Louise_Spilsbury,/images/icons/avatar_book-sm.png,"Publish Date 2017|Publisher  Stevens Publishing LLLP, Gareth|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Oxygen,Avery Elizabeth Hurt,juvenile_literature,First published in 2018,/works/OL28383802W,/authors/OL7530379A/Avery_Elizabeth_Hurt,/images/icons/avatar_book-sm.png,"Publish Date 2018|Publisher  Enslow Publishing, LLC|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Getting to Know JavaScript,Donna Bowen McKinney,juvenile_literature,First published in 2018,/works/OL28383925W,/authors/OL10527249A/Donna_Bowen_McKinney,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Visual Guide to Plants, Algae, and Fungi",Sol90 Editorial Staff,juvenile_literature,First published in 2018,/works/OL28384139W,/authors/OL10527268A/Sol90_Editorial_Staff,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Questions and Answers about the Underground Railroad,Heather Moore Niver,juvenile_literature,First published in 2018,/works/OL28384092W,/authors/OL6839789A/Heather_Moore_Niver,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Rescue Helicopters,B. J. Best,juvenile_literature,First published in 2017,/works/OL28383440W,/authors/OL7333187A/B._J._Best,/images/icons/avatar_book-sm.png,Publish Date 2017|Publisher  Cavendish Square Publishing LLC|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Witches Add!,Therese M. Shea,juvenile_literature,First published in 2018,/works/OL28384267W,/authors/OL7766032A/Therese_M._Shea,/images/icons/avatar_book-sm.png,"Publish Date 2018|Publisher  Stevens Publishing LLLP, Gareth|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Wind, Waves, and the Sun",Cathleen Small,juvenile_literature,First published in 2017,/works/OL28383586W,/authors/OL7536717A/Cathleen_Small,/images/icons/avatar_book-sm.png,Publish Date 2017|Publisher  Cavendish Square Publishing LLC|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Presto Chango! Tricks for Skilled Magicians,Norm Barnhart,juvenile_literature,First published in 2018,/works/OL28383741W,/authors/OL5033663A/Norm_Barnhart,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Capstone|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Algorithms : the Building Blocks of Computer Programming,Daniel R. Faust,juvenile_literature,First published in 2018,/works/OL28384096W,/authors/OL6471892A/Daniel_R._Faust,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Rosen Publishing Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
